Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	EvalWin	EvalScore	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	10.0	10.0	-10.0	21.886364	-0.011368681	0.13303429	0.51921266	-0.53539336	4000	-0.107089855	-0.0049188635	72.514915	-20.398119	0.013052207	0.013052207	1.0708984	0.009375663	0.056306306	79.0	19.252702951431274
1	0.0	10.0	10.0	-10.0	22.207865	0.09850088	4.512402	9.814217	-9.593442	8000	-0.10663811	-0.0029838358	51.738953	-1.347051	0.013052207	0.013052207	1.0663815	0.0054559037	0.02414915	79.0	22.00529980659485
2	0.0	10.0	10.0	-10.0	22.923977	0.0028652593	4.738936	10.651158	-10.637138	12000	-0.10756323	-0.0022863597	52.29433	-0.85896426	0.013052207	0.013052207	1.0756326	0.0026227029	0.023732066	79.0	24.86948037147522
3	0.0	10.0	10.0	-10.0	29.884615	0.015347684	4.5840783	10.428252	-10.343171	16000	-0.107806005	-0.001826177	52.32457	-0.86845523	0.013052207	0.013052207	1.07806	0.002884728	0.01366992	79.0	27.65933394432068
4	0.0	10.0	10.0	-10.0	23.189024	-0.0063499683	4.3550186	8.464789	-8.581733	20000	-0.10755587	-0.0015503479	51.6891	-0.99603206	0.013052207	0.013052207	1.0755589	0.0036200571	0.008583584	79.0	30.44684648513794
5	0.0	10.0	10.0	-10.0	25.986578	0.003263158	4.2050548	9.348451	-9.225937	24000	-0.10669756	-0.0016410662	51.461742	-0.99314815	0.013052207	0.013052207	1.0669756	0.0031160796	0.0067567565	79.0	33.32166290283203
6	0.0	10.0	10.0	-10.0	26.29054	-0.01462645	4.1242185	8.034636	-7.98355	28000	-0.10599057	-0.0028471749	50.33491	-1.1150812	0.013052207	0.013052207	1.0599055	0.0036126508	0.0071678828	79.0	36.221721172332764
7	0.0	10.0	10.0	-10.0	28.338236	-0.022851054	4.1733966	7.5424304	-8.143135	32000	-0.104786	-0.004183553	50.009888	-1.4694048	0.013052207	0.013052207	1.0478601	0.0066340924	0.028200075	79.0	39.15602087974548
8	0.0	10.0	10.0	-10.0	29.681818	-0.010311579	4.0803814	9.816853	-10.796561	36000	-0.103090025	-0.0045127445	50.05464	-1.7064323	0.013052207	0.013052207	1.0309001	0.0062066577	0.036925815	79.0	42.13160157203674
9	0.0	10.0	10.0	-10.0	32.633335	-0.020878932	3.9331617	11.304655	-11.763841	40000	-0.101356976	-0.005106216	49.716427	-2.1770668	0.013052207	0.013052207	1.0135697	0.0050327606	0.031794295	79.0	45.17214870452881
10	0.0	10.0	10.0	-10.0	37.10577	0.030381344	3.8413634	12.366372	-12.16748	44000	-0.10003892	-0.006001074	48.340984	-3.0689628	0.027108433	0.027108433	1.0003892	0.0051825475	0.033658657	79.0	75.27948236465454
11	0.0	10.0	10.0	-10.0	44.06818	0.025621584	3.8076088	13.486222	-13.574748	48000	-0.09890237	-0.006271187	46.055298	-3.6908238	0.027108433	0.027108433	0.9890237	0.0022482262	0.03958125	79.0	78.39557218551636
