Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	EvalWin	EvalScore	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	10.0	10.0	-10.0	22.267443	0.004239529	0.23018865	0.5269404	-0.52312016	4000	-0.10858517	-0.00318823	70.39216	-15.528636	0.012048192	0.012048192	1.0858517	0.0036798592	0.038788788	79.0	20.638327598571777
1	0.0	10.0	10.0	-10.0	23.473053	0.0052435566	4.087157	8.579299	-8.529157	8000	-0.108015716	-0.0018635379	56.392033	-0.9615205	0.012048192	0.012048192	1.0801572	0.0052245394	0.014952452	79.0	23.531050205230713
2	0.0	10.0	10.0	-10.0	20.744566	-0.0017244004	4.1680074	8.351509	-8.155474	12000	-0.107404135	-0.0014334122	54.268574	-0.88064003	0.012048192	0.012048192	1.0740414	0.0037601797	0.007924591	79.0	26.44341492652893
3	0.0	10.0	10.0	-10.0	23.679245	-0.002275046	4.2810445	8.727865	-8.739782	16000	-0.10610512	-0.0009018828	54.825287	-0.6215687	0.012048192	0.012048192	1.0610511	0.0012460029	0.005442943	79.0	29.245492219924927
4	0.0	10.0	10.0	-10.0	25.145695	-0.0009093776	3.940514	8.081182	-8.054407	20000	-0.10526163	-0.001107453	53.789967	-0.6889909	0.012048192	0.012048192	1.0526165	0.0022303173	0.0024024025	79.0	32.205437898635864
5	0.0	10.0	10.0	-10.0	27.119719	0.004617799	3.9920542	7.690214	-7.6453576	24000	-0.105228014	-0.002448678	53.333294	-0.772007	0.012048192	0.012048192	1.0522801	0.0033856034	0.0071738404	79.0	35.21203374862671
6	0.0	10.0	10.0	-10.0	28.407692	0.0062305536	3.9432645	7.208163	-7.2159863	28000	-0.10542492	-0.0028925873	53.0188	-0.90414304	0.012048192	0.012048192	1.0542492	0.0027597118	0.015158015	79.0	38.207075119018555
7	0.0	10.0	10.0	-10.0	31.336134	0.005440363	3.8106465	7.472647	-7.686147	32000	-0.10522774	-0.0032487884	52.167408	-1.3858	0.012048192	0.012048192	1.0522773	0.0015461255	0.01931619	79.0	41.259105920791626
8	0.0	10.0	10.0	-10.0	29.953846	-0.00074591365	3.8859994	10.235634	-10.026619	36000	-0.10475469	-0.0039786384	51.158085	-1.3594818	0.012048192	0.012048192	1.0475467	0.004430011	0.02405183	79.0	44.37907791137695
9	0.0	10.0	10.0	-10.0	29.875	-0.0053845798	3.823192	11.334441	-11.044904	40000	-0.10357831	-0.004601691	50.08769	-1.5730349	0.012048192	0.012048192	1.0357832	0.00360631	0.02837838	79.0	47.539326429367065
10	0.0	10.0	10.0	-10.0	37.833332	-0.0035778587	3.6965928	12.218412	-11.874868	44000	-0.10223778	-0.005063118	49.176086	-2.2398136	0.027108436	0.027108436	1.0223778	0.003725373	0.029154154	79.0	78.89979410171509
11	0.0	10.0	10.0	-10.0	43.38889	0.0014682707	3.6332107	11.816731	-11.405437	48000	-0.100824796	-0.005875816	47.80243	-3.4778824	0.027108436	0.027108436	1.0082479	0.0024899996	0.0323657	79.0	82.1261510848999
12	0.0	10.0	10.0	-10.0	46.963413	-0.0018614548	3.5887551	11.364574	-11.760776	52000	-0.09935268	-0.0064326166	44.945118	-3.763572	0.027108436	0.027108436	0.9935269	0.0034899798	0.036815662	79.0	85.36675691604614
13	0.0	10.0	10.0	-10.0	47.46154	-0.018626338	3.7426982	11.768177	-12.285889	56000	-0.09778115	-0.006526608	41.39403	-2.3970528	0.027108436	0.027108436	0.9778113	0.0013615265	0.038189974	79.0	88.61806273460388
14	0.0	10.0	10.0	-10.0	51.236843	-0.06500077	4.3355374	13.303022	-12.80549	60000	-0.09633269	-0.0060748844	39.585323	-0.9863682	0.027108436	0.027108436	0.96332693	0.0026770693	0.033174843	79.0	91.95015263557434
